,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,D0,8,True,False,True,5.96,5.97,5.979999999999917,37.05,31.07,0.02
1,D1,6,True,False,True,7.65,7.65,7.651976710737688,111.56,103.91,0.01
2,D2,13,True,False,True,8.93,8.94,8.949999999999854,37.44,28.49,0.02
3,D3,5,True,False,True,12.94,12.95,12.956463572997723,37.32,24.36,0.02
4,D4,16,True,False,True,19.3,19.3,19.31000000000022,19.43,0.12,0.01
5,D5,18,True,False,True,22.05,22.05,22.06000000000065,45.06,23.0,0.01
6,D6,3,True,False,True,41.8,41.81,41.81757790813851,133.87,92.05,0.02
7,D7,26,True,False,True,47.57,47.58,47.5899999999991,55.35,7.76,0.02
8,D8,32,True,False,True,50.85,50.86,50.86999999999845,52.75,1.88,0.02
9,D9,21,True,False,True,53.34,53.35,53.353601225947,71.68,18.32,0.01
10,D10,25,True,False,True,55.44,55.45,55.452068045122324,71.8,16.35,0.01
11,D11,29,True,False,True,61.97,61.98,61.98408951288446,130.26,68.28,0.01
12,D12,34,True,False,True,64.86,64.86,64.86601713889618,65.81,0.95,0.01
13,D13,7,True,False,True,65.17,65.17,65.17312988744527,153.86,88.69,0.01
14,D14,34,True,False,True,67.7,67.71,67.71238910246515,107.79,40.08,0.01
15,D15,38,True,False,True,74.4,74.41,74.42000000000117,156.73,82.31,0.02
16,D16,25,True,False,True,75.41,75.41,75.41386508838565,108.23,32.82,0.01
17,D17,19,True,False,True,76.37,76.38,76.38035188839434,135.01,58.63,0.01
18,D18,39,True,False,True,80.17,80.17,80.18000000000411,94.52,14.34,0.01
19,D19,18,True,False,True,83.96,83.96,83.965226034911,99.06,15.09,0.01
20,D20,30,True,False,True,88.99,89.0,89.00997283090047,106.35,17.34,0.02
21,D21,10,True,False,True,98.46,98.46,98.460044012756,147.78,49.32,0.0
22,D22,34,True,False,True,104.9,107.8,107.8016924019051,123.97,16.17,2.9
23,D23,30,True,False,True,109.62,110.24,110.24194112825231,119.97,9.73,0.62
24,D24,12,True,False,True,116.03,116.04,116.0461981382247,213.42,97.38,0.01
25,D25,37,True,False,True,117.98,117.99,117.99487634467751,201.72,83.72,0.01
26,D26,20,True,False,True,120.23,120.23,120.23851599991781,135.29,15.05,0.01
27,D27,4,True,False,True,121.52,121.57,121.57700994298644,156.91,35.33,0.05
28,D28,15,True,False,True,123.26,123.27,123.27192977564634,134.5,11.23,0.01
29,D29,9,True,False,True,128.25,128.25,128.250604193958,136.35,8.1,0.0
30,D30,18,True,False,True,128.73,128.73,128.73714258956733,143.12,14.39,0.01
31,D31,29,True,False,True,131.57,131.58,131.58414413405814,145.48,13.9,0.01
32,D32,3,True,False,True,134.39,134.4,134.40190072221853,209.47,75.07,0.01
33,D33,36,True,False,True,137.79,137.8,137.80558904745268,198.43,60.62,0.01
34,D34,33,True,False,True,140.57,143.05,143.059491437982,186.45,43.39,2.49
35,D35,27,True,False,True,142.44,143.78,143.78945251830964,256.16,112.37,1.35
36,D36,31,True,False,True,145.22,148.0,148.00280249224156,167.27,19.27,2.78
