,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,A0,0,True,False,True,2.38,2.39,2.399999999999993,25.49,23.09,0.02
1,A1,0,True,False,True,3.06,3.06,25.492598722678558,38.81,13.31,22.43
2,A2,1,True,False,True,3.57,3.58,3.5899999999999674,11.45,7.86,0.02
3,B0,1,True,False,True,3.58,3.59,11.448174755457773,49.22,37.77,7.87
4,B1,2,True,False,True,4.59,4.59,4.599999999999946,23.1,18.5,0.01
5,C0,2,True,False,True,4.77,4.77,23.100310012071645,30.2,7.1,18.33
6,A3,3,True,False,True,5.18,5.18,5.189999999999934,7.3,2.11,0.01
7,B2,3,True,False,True,5.36,5.36,7.301976710737695,8.17,0.86,1.94
8,D0,4,True,False,True,5.96,5.97,5.979999999999917,37.05,31.07,0.02
9,C1,4,True,False,True,6.12,6.12,37.05031283146758,53.45,16.4,30.93
10,C2,5,True,False,True,7.15,7.15,7.159999999999892,14.54,7.38,0.01
11,D1,5,True,False,True,7.65,7.65,14.538375757422191,118.45,103.91,6.89
12,A4,6,True,False,True,7.72,7.72,7.72999999999988,23.47,15.74,0.01
13,B3,6,True,False,True,7.76,7.77,23.468758629256115,124.78,101.31,15.7
14,A5,7,True,False,True,8.82,8.82,8.829999999999856,17.35,8.52,0.01
15,D2,7,True,False,True,8.93,8.94,17.354333393848982,45.85,28.49,8.42
16,C3,8,True,False,True,10.35,10.36,10.369999999999823,66.45,56.08,0.02
17,B4,8,True,False,True,11.58,11.58,66.44590613386774,90.37,23.93,54.87
18,D3,9,True,False,True,12.94,12.95,12.959999999999768,37.32,24.36,0.02
19,B5,9,True,False,True,13.23,13.23,37.32037379358461,38.84,1.52,24.09
20,C4,10,True,False,True,15.44,15.44,15.449999999999715,33.73,18.28,0.01
21,A6,10,True,False,True,16.72,16.73,33.72910741774956,43.65,9.92,17.01
22,C5,11,True,False,True,17.64,17.64,17.64999999999996,27.5,9.85,0.01
23,A7,11,True,False,True,19.03,19.03,27.496873911274033,34.93,7.44,8.47
24,D4,12,True,False,True,19.3,19.3,19.31000000000022,19.43,0.12,0.01
25,A8,13,True,False,True,20.34,20.35,20.360000000000383,30.15,9.79,0.02
26,A9,13,True,False,True,21.34,21.34,30.154176714322986,46.39,16.23,8.82
27,D5,14,True,False,True,22.05,22.05,22.06000000000065,45.06,23.0,0.01
28,A10,14,True,False,True,22.18,22.18,45.06482913581955,45.35,0.28,22.89
29,A11,15,True,False,True,24.79,24.79,24.800000000001077,62.43,37.63,0.01
30,B6,15,True,False,True,25.08,25.09,62.431101017856655,89.49,27.06,37.35
