,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,B0,3,True,False,True,3.58,3.58,3.5899999999999674,41.36,37.77,0.01
1,B1,4,True,False,True,4.59,4.59,4.599999999999946,23.1,18.5,0.01
2,B2,7,True,False,True,5.36,5.36,5.36999999999993,6.23,0.86,0.01
3,B3,11,True,False,True,7.76,7.77,7.779999999999879,109.09,101.31,0.02
4,B4,2,True,False,True,11.58,11.58,11.58817475545777,35.52,23.93,0.01
5,B5,15,True,False,True,13.23,13.23,13.239999999999762,14.76,1.52,0.01
6,B6,9,True,False,True,25.08,25.09,25.093951489945088,52.15,27.06,0.01
7,B7,12,True,False,True,28.54,28.55,28.551207305123267,40.44,11.89,0.01
8,B8,19,True,False,True,30.51,30.52,30.524895649557546,34.17,3.65,0.01
9,B9,21,True,False,True,32.01,32.01,32.0200000000022,52.75,20.73,0.01
10,B10,23,True,False,True,33.27,33.27,33.28000000000195,65.74,32.46,0.01
11,B11,7,True,False,True,37.18,37.19,37.19106943004377,64.99,27.8,0.01
12,B12,8,True,False,True,38.92,38.92,38.92031283146721,46.03,7.11,0.0
13,B13,13,True,False,True,39.1,39.1,39.101543644186435,57.71,18.6,0.0
14,B14,2,True,False,True,40.62,40.63,40.63825066073394,59.92,19.29,0.02
15,B15,19,True,False,True,44.64,44.65,44.650006982633414,76.19,31.54,0.01
16,B16,18,True,False,True,45.25,45.25,45.25482913581951,56.41,11.15,0.01
17,B17,24,True,False,True,45.82,45.83,45.834148011071164,85.79,39.95,0.01
18,B18,28,True,False,True,48.1,48.1,48.109999999999,72.83,24.72,0.01
19,B19,31,True,False,True,50.38,50.38,50.389999999998544,51.37,0.98,0.01
20,B20,32,True,False,True,53.39,53.4,53.40708472527815,73.17,19.77,0.01
21,B21,16,True,False,True,59.07,59.08,59.08611034768129,108.58,49.5,0.01
22,B22,30,True,False,True,62.94,62.95,62.95136179515217,83.91,20.96,0.01
23,B23,23,True,False,True,65.77,65.78,65.78440964188454,70.62,4.83,0.01
24,B24,5,True,False,True,69.62,69.62,69.62154103919686,87.47,17.85,0.0
25,B25,23,True,False,True,70.79,70.79,70.79881851886198,106.16,35.36,0.01
26,B26,25,True,False,True,72.14,72.14,72.1475645510061,75.06,2.92,0.01
27,B27,28,True,False,True,72.91,72.92,72.92628407898616,115.4,42.47,0.01
28,B28,37,True,False,True,73.96,73.96,73.97000000000094,78.55,4.58,0.01
29,B29,35,True,False,True,76.95,76.95,76.95584993241701,96.05,19.09,0.01
30,B30,0,True,False,True,77.24,77.24,77.24299001684072,89.43,12.18,0.01
31,B31,37,True,False,True,78.94,78.95,78.95250011784391,86.1,7.15,0.01
32,B32,22,True,False,True,80.63,80.64,80.64381350631623,106.71,26.06,0.01
33,B33,10,True,False,True,82.68,82.68,82.6833973352054,83.64,0.95,0.01
34,B34,20,True,False,True,84.34,84.35,84.35583511770866,120.04,35.68,0.01
35,B35,27,True,False,True,85.46,85.47,85.47662676310932,104.19,18.71,0.01
36,B36,21,True,False,True,87.13,87.14,87.14925465942403,139.29,52.14,0.02
37,B37,33,True,False,True,93.85,93.85,93.85861818911326,112.25,18.39,0.01
38,B38,23,True,False,True,102.5,106.17,106.17059265730768,107.06,0.89,3.67
39,B39,30,True,False,True,104.59,106.35,106.35646978799616,110.23,3.88,1.76
40,B40,25,True,False,True,107.53,108.24,108.24115667742939,147.93,39.69,0.71
41,B41,11,True,False,True,107.9,109.1,109.10459787890214,126.04,16.93,1.21
42,B42,26,True,False,True,109.04,109.51,109.51366843822917,124.09,14.58,0.47
43,B43,6,True,False,True,110.65,111.56,111.56993026360396,121.15,9.58,0.92
44,B44,31,True,False,True,116.69,116.69,116.69943447196546,125.07,8.37,0.01
45,B45,0,True,False,True,117.55,117.55,117.55205979695364,202.0,84.45,0.0
46,B46,16,True,False,True,119.53,119.53,119.53111472348662,133.71,14.18,0.0
47,B47,6,True,False,True,132.24,132.25,132.2597994472491,186.11,53.85,0.02
48,B48,16,True,False,True,134.44,134.45,134.45466188319,160.57,26.11,0.01
49,B49,20,True,False,True,137.29,137.29,137.29884381796032,186.17,48.87,0.01
50,B50,26,True,False,True,137.67,137.68,137.68536792297786,185.52,47.84,0.01
51,B51,18,True,False,True,142.93,143.13,143.1325671206056,221.4,78.27,0.21
52,B52,10,True,False,True,145.7,147.79,147.79176937272777,177.72,29.93,2.09
53,B53,39,True,False,True,148.06,148.07,148.07244072700863,188.99,40.92,0.01
54,B54,29,True,False,True,149.32,149.32,149.32140405737636,182.35,33.02,0.0
55,B55,13,True,False,True,150.41,151.23,151.2352632846892,174.47,23.24,0.83
56,B56,9,True,False,True,152.03,152.03,152.03623996764244,183.63,31.59,0.01
57,B57,7,True,False,True,155.46,155.46,155.4607003530145,186.91,31.45,0.0
58,B58,19,True,False,True,161.71,165.25,165.252139270433,166.3,1.04,3.55
59,B59,25,True,False,True,163.85,165.43,165.43925288116031,183.59,18.15,1.59
60,B60,4,True,False,True,167.17,167.17,167.17817200373966,206.51,39.33,0.01
61,B61,2,True,False,True,169.81,169.82,169.82227673005244,176.78,6.96,0.01
62,B62,5,True,False,True,172.76,172.76,172.762075051526,188.41,15.64,0.01
63,B63,1,True,False,True,176.12,176.13,176.13590269183655,190.41,14.27,0.01
64,B64,35,True,False,True,181.67,181.67,181.67628500406815,194.56,12.89,0.01
65,B65,29,True,False,True,181.93,182.35,182.35604766592084,185.6,3.25,0.43
66,B66,13,True,False,True,186.25,186.26,186.26636475476724,204.91,18.65,0.01
67,B67,7,True,False,True,187.09,187.1,187.10826519694942,201.88,14.78,0.02
68,B68,20,True,False,True,187.74,187.75,187.75245278871756,214.97,27.22,0.01
69,B69,5,True,False,True,190.29,190.29,190.29995922933307,210.23,19.93,0.01
70,B70,15,True,False,True,190.59,190.6,190.60491776862696,191.3,0.7,0.01
71,B71,11,True,False,True,197.09,197.09,197.0922269554943,197.9,0.81,0.0
72,B72,32,True,False,True,200.05,200.05,200.05845600366933,230.27,30.21,0.01
73,B73,11,True,False,True,203.9,203.91,203.91570270018852,234.65,30.74,0.01
74,B74,24,True,False,True,203.95,203.96,203.9696691406868,284.4,80.43,0.02
75,B75,4,True,False,True,206.66,206.67,206.67201337306898,259.0,52.33,0.01
76,B76,13,True,False,True,209.1,209.11,209.11269276971657,224.89,15.78,0.01
77,B77,3,True,False,True,209.62,209.63,209.63903184048144,234.22,24.58,0.02
78,B78,19,True,False,True,210.12,210.12,210.1226540017293,225.4,15.27,0.0
79,B79,12,True,False,True,213.69,213.69,213.69465657509784,220.0,6.31,0.01
80,B80,22,True,False,True,214.84,214.84,214.84861498359828,226.67,11.82,0.01
81,B81,8,True,False,True,218.37,218.38,218.3820557580175,221.12,2.74,0.01
82,B82,12,True,False,True,220.8,220.8,220.8008000133584,248.26,27.45,0.0
83,B83,8,True,False,True,222.27,222.28,222.2841974958887,227.61,5.33,0.01
84,B84,19,True,False,True,230.05,230.06,230.06717121516638,246.2,16.13,0.02
85,B85,5,True,False,True,235.58,235.58,235.58254926924283,321.2,85.61,0.0
86,B86,11,True,False,True,236.91,236.91,236.91490217970934,237.72,0.8,0.01
87,B87,15,True,False,True,237.04,237.04,237.0461281767543,241.16,4.11,0.01
88,B88,11,True,False,True,238.13,238.14,238.14943308935014,247.02,8.87,0.02
89,B89,13,True,False,True,239.65,239.66,239.66535074299722,310.77,71.1,0.01
90,B90,29,True,False,True,243.32,243.32,243.3266613619499,303.21,59.88,0.01
91,B91,4,True,False,True,259.43,259.44,259.4413343214035,263.86,4.42,0.01
92,B92,6,True,False,True,260.75,260.76,260.76838116157285,360.01,99.24,0.01
93,B93,10,True,False,True,265.07,265.07,265.0746310781176,299.81,34.73,0.01
94,B94,18,True,False,True,267.77,267.77,267.77816322905164,287.19,19.41,0.01
95,B95,14,True,False,True,271.3,271.3,271.30121228133686,338.4,67.1,0.01
96,B96,7,True,False,True,271.79,271.79,271.79519637406247,324.93,53.13,0.01
97,B97,23,True,False,True,273.31,273.32,273.3230254227325,285.73,12.41,0.01
98,B98,25,True,False,True,274.14,274.15,274.157053442621,300.86,26.7,0.02
99,B99,27,True,False,True,275.4,275.41,275.41275041585163,301.47,26.06,0.01
100,B100,8,True,False,True,277.56,277.57,277.57828728739105,287.48,9.9,0.02
101,B101,19,True,False,True,280.86,280.86,280.867091312028,285.81,4.94,0.01
102,B102,32,True,False,True,281.19,281.2,281.2017905695615,296.92,15.72,0.01
103,B103,33,True,False,True,281.61,281.62,281.6296348414661,289.27,7.64,0.02
104,B104,2,True,False,True,282.78,282.78,282.78587382301123,293.75,10.97,0.01
105,B105,4,True,False,True,286.03,286.04,286.04600622130357,363.1,77.06,0.02
106,B106,28,True,False,True,291.65,291.66,291.6668470916947,307.12,15.46,0.01
107,B107,2,True,False,True,294.07,294.07,294.07102228288574,322.94,28.87,0.0
108,B108,10,True,False,True,299.85,299.86,299.86685460110147,310.11,10.25,0.02
109,B109,11,True,False,True,301.31,301.31,301.31160055584115,438.49,137.18,0.0
110,B110,16,True,False,True,302.45,302.46,302.46280971257823,329.34,26.88,0.01
111,B111,25,True,False,True,303.76,303.77,303.7798480010273,309.23,5.45,0.02
112,B112,27,True,False,True,304.33,304.33,304.3322224568379,306.92,2.58,0.01
113,B113,25,True,False,True,309.63,309.63,309.63404258072393,381.33,71.7,0.01
114,B114,10,True,False,True,310.87,310.87,310.872340013997,383.28,72.41,0.0
115,B115,26,True,False,True,313.28,313.28,313.28398731455354,337.56,24.28,0.01
116,B116,31,True,False,True,315.87,315.88,315.8894761455709,316.32,0.43,0.02
117,B117,31,True,False,True,318.08,318.09,318.09791392577716,324.49,6.39,0.02
118,B118,35,True,False,True,318.09,318.1,318.10061353554073,358.5,40.4,0.01
119,B119,16,True,False,True,331.45,331.45,331.4525978778267,383.53,52.08,0.01
120,B120,14,True,False,True,338.52,338.52,338.52840537051,353.66,15.13,0.01
121,B121,15,True,False,True,339.22,339.22,339.22219324643896,350.6,11.37,0.0
122,B122,23,True,False,True,340.26,340.26,340.2652182409186,348.28,8.01,0.01
123,B123,2,True,False,True,342.46,342.46,342.46650909430736,345.58,3.11,0.01
124,B124,36,True,False,True,349.42,349.43,349.43238592929305,352.51,3.08,0.01
125,B125,6,True,False,True,361.76,361.77,361.7767357717637,438.01,76.23,0.02
126,B126,19,True,False,True,362.65,362.66,362.6699462199033,404.01,41.34,0.02
127,B127,23,True,False,True,365.15,365.15,365.1542394535287,369.66,4.5,0.01
128,B128,23,True,False,True,370.08,370.09,370.09572320905903,375.9,5.8,0.01
129,B129,28,True,False,True,371.59,371.59,371.5936113012758,398.24,26.65,0.01
130,B130,33,True,False,True,375.53,375.53,375.5362637298976,411.7,36.17,0.01
131,B131,23,True,False,True,376.05,376.06,376.06560255772973,417.63,41.56,0.01
132,B132,35,True,False,True,378.81,378.81,378.8166709702606,383.28,4.46,0.01
133,B133,5,True,False,True,384.83,384.84,384.8467897720648,488.43,103.58,0.01
134,B134,16,True,False,True,397.15,397.16,397.16077185280136,403.62,6.46,0.01
135,B135,18,True,False,True,397.4,397.4,397.4069048573697,419.66,22.25,0.01
136,B136,25,True,False,True,399.08,399.08,399.0845104752729,421.23,22.14,0.01
137,B137,14,True,False,True,399.76,399.77,399.77402287546715,485.33,85.56,0.01
138,B138,28,True,False,True,401.56,401.56,401.566386118748,428.37,26.8,0.01
139,B139,16,True,False,True,403.94,403.95,403.9536311125189,425.93,21.98,0.01
140,B140,12,True,False,True,404.23,404.24,404.24224595081654,422.53,18.29,0.01
141,B141,19,True,False,True,405.29,405.3,405.3081024660083,441.48,36.17,0.02
142,B142,33,True,False,True,413.17,413.17,413.1748115585097,415.98,2.8,0.01
143,B143,33,True,False,True,415.69,415.98,415.9875945199333,416.04,0.05,0.3
144,B144,32,True,False,True,417.53,417.53,417.5382304183963,493.71,76.17,0.01
145,B145,25,True,False,True,421.73,421.73,421.7395037638464,439.0,17.26,0.01
146,B146,0,True,False,True,425.79,425.8,425.807504523413,435.76,9.95,0.02
147,B147,16,True,False,True,425.94,425.94,425.9447836573224,437.42,11.47,0.01
148,B148,28,True,False,True,429.64,429.64,429.64570176159714,470.37,40.72,0.01
149,B149,12,True,False,True,435.12,435.13,435.1331166590861,447.18,12.05,0.01
150,B150,26,True,False,True,435.67,435.67,435.67600513867507,472.44,36.76,0.01
151,B151,4,True,False,True,440.22,440.23,440.2309760749291,454.75,14.52,0.01
152,B152,11,True,False,True,441.24,441.24,441.2446010667212,487.7,46.46,0.01
153,B153,19,True,False,True,442.33,442.34,442.3459409898944,444.33,1.98,0.01
154,B154,33,True,False,True,445.62,445.62,445.62262160795024,462.03,16.4,0.0
155,B155,34,True,False,True,445.97,445.98,445.9856905944245,461.71,15.72,0.01
156,B156,12,True,False,True,449.25,449.26,449.26976791526926,456.94,7.67,0.02
157,B157,4,True,False,True,455.82,455.82,455.8270720620311,527.72,71.89,0.01
158,B158,31,True,False,True,459.39,459.4,459.40497901779804,518.26,58.85,0.01
159,B159,36,True,False,True,461.13,461.14,461.1439403971941,475.8,14.66,0.01
160,B160,33,True,False,True,462.86,462.87,462.8750887503618,465.43,2.56,0.01
161,B161,24,True,False,True,467.21,467.21,467.21810974669273,473.01,5.79,0.01
162,B162,0,True,False,True,469.71,469.71,469.7190208675029,477.64,7.92,0.01
